monthData,PE_total
1990/3/1,58.73553556
1990/4/1,77.78444811
1990/5/1,98.012672
1990/6/1,96.35617657
1990/7/1,103.7145313
1990/8/1,103.7298427
1990/9/1,69.06869139
1990/10/1,49.26170776
1990/11/1,44.52609245
1990/12/1,34.07285796
1991/1/1,27.17462132
1991/2/1,50.31980462
1991/3/1,76.64264264
1991/4/1,84.31868295
1991/5/1,114.9941092
1991/6/1,110.1820702
1991/7/1,99.96743162
1991/8/1,91.84830516
1991/9/1,81.99508766
1991/10/1,71.01617599
1991/11/1,35.08915278
1991/12/1,28.7548452
1992/1/1,29.31557421
1992/2/1,31.08432623
1992/3/1,62.96539428
1992/4/1,95.8870093
1992/5/1,107.4150109
1992/6/1,101.4155633
1992/7/1,95.78439203
1992/8/1,101.3802967
1992/9/1,73.90501772
1992/10/1,56.30856787
1992/11/1,39.90103512
1992/12/1,27.52255064
1993/1/1,21.90853251
1993/2/1,38.17459875
1993/3/1,54.747319
1993/4/1,91.41014077
1993/5/1,107.4676027
1993/6/1,91.3189899
1993/7/1,97.75766155
1993/8/1,86.43198708
1993/9/1,69.9968083
1993/10/1,64.72923745
1993/11/1,45.60359529
1993/12/1,36.31544879
1994/1/1,35.98964741
1994/2/1,38.81100298
1994/3/1,66.59255957
1994/4/1,91.33514815
1994/5/1,115.3469259
1994/6/1,100.9553615
1994/7/1,128.1710779
1994/8/1,120.0648858
1994/9/1,86.49225669
1994/10/1,70.74199109
1994/11/1,35.01360176
1994/12/1,32.02266522
1995/1/1,25.67992689
1995/2/1,30.75109436
1995/3/1,68.01268323
1995/4/1,78.04850276
1995/5/1,149.853648
1995/6/1,136.3557581
1995/7/1,112.9758789
1995/8/1,101.2811484
1995/9/1,75.35616178
1995/10/1,58.11905222
1995/11/1,35.5660704
1995/12/1,24.32314375
1996/1/1,27.01587012
1996/2/1,40.55080749
1996/3/1,79.31639572
1996/4/1,101.8654278
1996/5/1,104.6172039
1996/6/1,101.1610588
1996/7/1,100.8449948
1996/8/1,116.7899557
1996/9/1,69.49986398
1996/10/1,59.1626192
1996/11/1,45.26021955
1996/12/1,36.62622077
1997/1/1,28.71866528
1997/2/1,28.52605817
1997/3/1,60.18189911
